product_name,Stars,Ratings,Reviews,current_price,MRP,processor,RAM,storage,ImageURL
Lenovo Athlon Dual Core 3050U ,0,113,11,₹19990,0,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70
Lenovo Athlon Dual Core 3050U ,0,142,15,₹17990,0,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70
ASUS EeeBook 12 Celeron Dual Core ,0,58,7,₹16990,0,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,29.46 cm (11.6 inch) Display,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/computer/w/y/7/-original-imageuecxufgrnab.jpeg?q=70
Acer One Core i3 11th Gen ,0,42,4,₹29990,0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/f/t/-original-imagpxgffycz7azf.jpeg?q=70
ASUS Chromebook Touch Intel Celeron Dual Core ,0,1205,189,₹16990,0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,39.62 cm (15.6 inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/computer/s/d/u/-original-imagdv4f66jmsqfv.jpeg?q=70
ASUS Chromebook Flip Touch Celeron Dual Core ,0,2824,394,₹16990,0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/z/n/-original-imagg3fxfrttfgvj.jpeg?q=70
Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core ,0,93,4,₹15990,0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,35.56 cm (14 inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/k/4/-original-imaggqgb6dbkyhbe.jpeg?q=70
Primebook 4G Android Based MediaTek MT8788 ,0,745,246,₹16990,0,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 Inch) Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70
HP intel Celeron Dual Core ,0,165,20,₹18990,0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,35.56 cm (14 Inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/6/p/a/chromebook-chromebook-hp-original-imagkwj8tahdykbd.jpeg?q=70
HP Chromebook MediaTek Kompanio 500 ,0,6314,709,₹18990,0,MediaTek MediaTek Kompanio 500 Processor,4 GB LPDDR4X RAM,29.46 cm (11.6 inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/2/m/e/-original-imagkqwzw9cdvgj2.jpeg?q=70
Lenovo Athlon Dual Core ,0,151,15,₹18999,0,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,0,561,90,₹23490,0,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/z/o/xl30-thin-and-light-laptop-infinix-original-imagzmncf5snymhu.jpeg?q=70
Avita SATUS S111 Celeron Dual Core ,0,986,135,₹16990,0,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/q/9/e/-original-imageye8tzbey747.jpeg?q=70
AXL Celeron Dual Core 9th Gen ,0,0,0,₹19999,0,Intel Celeron Dual Core Processor (9th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/6/x/5/vayu-book-thin-and-light-laptop-axl-original-imagq42brczpgczx.jpeg?q=70
ASUS Pentium Quad Core ,0,5761,829,₹23990,0,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/k9d3p8w0/computer/c/a/h/asus-na-laptop-original-imafr6cbfurgkspg.jpeg?q=70
